Data column name,Type,About,Short name,Long name,Max,Answers,,,,
,Participant ID column name,import,,,,Respondent,,,,
EQuestion,eliciting,eliciting,Eliciting question,Please choose a question to which you would like to respond.,,Surprise|Surprise|What has been your biggest surprise in the past year?,ReallyLike|Really like|What experience comes to mind when you think about what success is really like?,Discovered|Discovery|What was your biggest discovery at work in the past year?,,
,Story text column name,import,,,,SText,,,,
,Story title column name,import,,,,STitle,,,,
LongAgo,Single choice,story,How long ago,How long ago did this story take place?,,Last week|In the past week,3 months|Within the past 3 months,6 months|From 3 to 6 months ago,1 year|From 6 months to a year ago,
Source,Single choice indexed,story,Where story came from,Where did this story come from?,,first-person,second-hand,rumor and I believe it,rumor and I don't believe it,
Remember,Scale,story,How long remember,How long do you think you will remember this story?,,for a few minutes,for the rest of my life,1,10,
,Scale range,import,,,,1,10,,,
Feel about,Multi-choice multi-column texts,story,Feel about,How do you feel about this story?,,happy|positive,sad|negative,,,
Needed,Multi-choice multi-column yes/no,story,Needed,What did the people in this story need?,,help|to be helped,understanding|to be understood,,,
,Yes no questions yes indicator,import,,,,Yes,,,,
,Yes no questions Q-A separator,import,,,,[,,,,
,Yes no questions Q-A ending,import,,,,],,,,
Helped,Multi-choice single-column delimited,story,People who helped,Who helped the main person in this story get what they needed?,,manager|A manager,colleague|A colleague,friend|A friend,family|A family member,self|They helped themselves
,Multi choice single column delimiter,import,,,,",",,,,
Surprised,Multi-choice single-column delimited indexed,story,Who would be surprised,Who be surprised to hear this story?,,the people at the head office,our customers,the people I work with,our competitors,our shareholders
Comment,Text,participant,Comment,"If you would like to say anything else, please type it here.",,,,,,